1.5	0.5	33.0	52.2	2.43	10.48	3.29
1.5	1	42.7	61.8	1.86	10.46	3.28
1.5	1.5	44.7	63.4	1.64	10.64	3.35
1.5	2	49.5	66.6	1.55	10.45	3.19
1.5	2.5	50.2	70.3	1.48	10.44	3.31
1.5	3	50.1	69.5	1.43	10.79	3.21
1.5	3.5	53.5	72.1	1.41	10.67	3.14
1.5	4	55.3	71.8	1.37	10.5	3.03
1.5	4.5	53.7	72.1	1.36	10.67	3.19
1.5	5	54.6	72.9	1.36	10.55	3.0
1.5	5.5	59.7	76.5	1.34	10.7	3.09
1.5	6	60.5	77.5	1.36	10.43	2.71
1.5	6.5	60.3	77.5	1.34	10.48	2.88
1.5	7	62.9	79.5	1.34	10.66	2.82
1.5	7.5	64.0	80.2	1.34	10.51	2.84
1.5	8	65.2	80.2	1.31	10.65	2.93
1.5	8.5	62.7	78.2	1.3	10.59	2.75
1.5	9	66.4	81.2	1.33	10.42	2.79
1.5	9.5	65.8	80.3	1.32	10.44	2.66
1.5	10	66.9	82.7	1.33	10.5	2.66
2.0	0.5	43.7	61.6	2.81	10.35	3.29
2.0	1	50.2	69.7	1.99	10.56	3.22
2.0	1.5	55.8	74.7	1.8	10.51	2.91
2.0	2	58.6	76.6	1.69	10.57	2.84
2.0	2.5	60.6	76.3	1.67	10.42	2.88
2.0	3	66.0	79.6	1.69	10.33	2.73
2.0	3.5	69.3	83.6	1.66	10.47	2.64
2.0	4	69.7	81.6	1.6	10.48	2.65
2.0	4.5	72.2	84.0	1.61	10.55	2.48
2.0	5	74.2	86.9	1.63	10.54	2.28
2.0	5.5	75.8	86.8	1.61	10.47	2.44
2.0	6	77.4	86.6	1.61	10.38	2.36
2.0	6.5	76.8	86.7	1.61	10.31	2.32
2.0	7	76.8	87.5	1.58	10.54	2.46
2.0	7.5	80.6	88.0	1.61	10.4	2.23
2.0	8	79.2	89.0	1.59	10.47	2.25
2.0	8.5	80.4	89.1	1.58	10.39	2.25
2.0	9	81.2	89.7	1.6	10.44	2.22
2.0	9.5	82.3	89.4	1.62	10.34	2.18
2.0	10	82.5	90.0	1.59	10.44	2.09
2.5	0.5	47.8	66.3	2.74	10.53	3.16
2.5	1	58.8	76.5	2.17	10.56	2.97
2.5	1.5	64.6	79.2	2.07	10.36	2.74
2.5	2	70.5	83.3	1.95	10.63	2.68
2.5	2.5	68.6	82.9	1.89	10.53	2.56
2.5	3	73.0	86.6	1.86	10.47	2.36
2.5	3.5	75.7	86.3	1.85	10.39	2.41
2.5	4	79.5	88.4	1.83	10.33	2.27
2.5	4.5	79.0	88.7	1.87	10.37	2.2
2.5	5	81.5	89.9	1.85	10.48	2.3
2.5	5.5	81.6	89.2	1.85	10.38	2.23
2.5	6	84.5	91.0	1.87	10.39	2.04
2.5	6.5	84.4	90.4	1.83	10.38	2.2
2.5	7	84.6	91.0	1.88	10.35	2.06
2.5	7.5	85.7	91.3	1.88	10.35	2.12
2.5	8	88.1	92.5	1.87	10.5	1.89
2.5	8.5	87.5	91.6	1.86	10.31	2.07
2.5	9	86.8	91.9	1.85	10.38	1.98
2.5	9.5	86.3	91.1	1.83	10.29	2.09
2.5	10	87.0	91.4	1.84	10.37	2.1
3.0	0.5	49.4	68.8	3.1	10.18	2.97
3.0	1	63.2	78.9	2.4	10.51	2.87
3.0	1.5	70.9	83.1	2.25	10.5	2.6
3.0	2	72.2	84.4	2.11	10.47	2.48
3.0	2.5	79.1	89.3	2.11	10.44	2.38
3.0	3	79.9	89.2	2.06	10.49	2.3
3.0	3.5	82.4	90.0	2.15	10.28	2.14
3.0	4	83.6	90.5	2.05	10.43	2.14
3.0	4.5	82.3	89.0	1.99	10.29	2.34
3.0	5	86.6	92.1	2.11	10.41	2.03
3.0	5.5	85.7	92.0	1.99	10.48	2.14
3.0	6	85.2	90.4	2.01	10.33	2.12
3.0	6.5	87.4	91.3	2.05	10.38	2.02
3.0	7	86.4	90.4	2.05	10.32	2.13
3.0	7.5	88.9	91.6	2.09	10.25	2.02
3.0	8	89.2	93.2	2.07	10.44	1.98
3.0	8.5	88.4	92.1	2.06	10.32	2.02
3.0	9	89.3	92.4	2.04	10.47	2.01
3.0	9.5	89.7	92.9	2.07	10.4	1.96
3.0	10	90.8	93.1	2.08	10.42	1.92
3.5	0.5	54.8	73.3	3.18	10.4	2.92
3.5	1	66.8	80.9	2.64	10.59	2.75
3.5	1.5	71.2	84.3	2.47	10.31	2.47
3.5	2	78.9	88.0	2.33	10.6	2.35
3.5	2.5	78.8	88.7	2.24	10.59	2.27
3.5	3	82.7	89.3	2.32	10.32	2.25
3.5	3.5	85.8	91.1	2.33	10.39	2.11
3.5	4	85.1	90.7	2.24	10.36	2.13
3.5	4.5	86.2	90.3	2.3	10.17	2.1
3.5	5	86.7	91.3	2.27	10.27	2.11
3.5	5.5	89.6	92.3	2.3	10.29	1.98
3.5	6	89.2	92.5	2.25	10.38	1.99
3.5	6.5	90.1	93.5	2.33	10.39	1.89
3.5	7	89.8	92.8	2.35	10.29	1.93
3.5	7.5	90.4	92.6	2.31	10.41	1.94
3.5	8	89.8	92.4	2.27	10.4	1.97
3.5	8.5	90.7	93.7	2.28	10.37	1.87
3.5	9	89.8	92.9	2.22	10.35	1.98
3.5	9.5	91.8	93.7	2.31	10.39	1.85
3.5	10	92.2	94.0	2.3	10.43	1.82
4.0	0.5	56.8	74.9	3.61	10.34	2.76
4.0	1	68.3	83.3	2.8	10.36	2.45
4.0	1.5	76.3	87.1	2.63	10.38	2.4
4.0	2	80.7	90.5	2.58	10.43	2.12
4.0	2.5	81.8	89.7	2.51	10.42	2.29
4.0	3	85.8	91.1	2.47	10.45	2.15
4.0	3.5	85.6	90.8	2.45	10.36	2.12
4.0	4	87.8	92.1	2.48	10.35	2.01
4.0	4.5	88.6	91.7	2.47	10.35	2.05
4.0	5	88.4	91.5	2.45	10.32	2.02
4.0	5.5	89.5	92.5	2.49	10.33	1.96
4.0	6	88.9	92.0	2.42	10.31	2.03
4.0	6.5	91.5	93.4	2.49	10.41	1.91
4.0	7	91.1	93.1	2.46	10.45	1.89
4.0	7.5	90.9	93.3	2.43	10.45	1.91
4.0	8	91.7	93.5	2.49	10.46	1.84
4.0	8.5	90.8	93.2	2.48	10.36	1.88
4.0	9	92.9	94.3	2.45	10.47	1.82
4.0	9.5	91.3	93.5	2.48	10.3	1.86
4.0	10	92.1	94.5	2.46	10.48	1.81
4.5	0.5	58.4	74.7	3.6	10.56	2.86
4.5	1	70.0	84.8	2.88	10.65	2.55
4.5	1.5	77.7	87.9	2.68	10.45	2.4
4.5	2	82.4	89.4	2.69	10.33	2.22
4.5	2.5	82.9	88.9	2.58	10.3	2.3
4.5	3	86.6	90.8	2.61	10.51	2.19
4.5	3.5	88.4	92.2	2.58	10.44	2.05
4.5	4	90.7	93.4	2.65	10.52	1.94
4.5	4.5	91.1	93.3	2.62	10.44	1.89
4.5	5	90.3	92.8	2.69	10.37	1.97
4.5	5.5	89.5	92.8	2.64	10.4	1.99
4.5	6	90.5	93.0	2.63	10.34	1.9
4.5	6.5	92.1	93.6	2.69	10.35	1.89
4.5	7	91.6	93.1	2.65	10.32	1.89
4.5	7.5	91.7	93.9	2.6	10.43	1.9
4.5	8	91.4	93.2	2.63	10.31	1.9
4.5	8.5	92.2	93.7	2.66	10.42	1.83
4.5	9	91.8	93.2	2.58	10.34	1.93
4.5	9.5	92.7	93.8	2.59	10.37	1.83
4.5	10	92.7	94.1	2.53	10.44	1.86
5.0	0.5	60.7	77.2	4.03	10.37	2.72
5.0	1	70.9	83.8	3.15	10.41	2.52
5.0	1.5	75.8	85.9	2.8	10.41	2.48
5.0	2	82.6	89.9	2.88	10.33	2.24
5.0	2.5	86.2	92.0	2.77	10.49	2.14
5.0	3	85.8	91.5	2.7	10.34	2.09
5.0	3.5	88.4	92.7	2.89	10.38	1.93
5.0	4	90.3	92.7	2.8	10.28	1.9
5.0	4.5	90.8	92.6	2.79	10.39	1.98
5.0	5	90.9	92.6	2.81	10.24	1.94
5.0	5.5	90.9	92.7	2.75	10.3	1.94
5.0	6	92.0	93.6	2.76	10.35	1.87
5.0	6.5	90.8	93.0	2.75	10.34	1.88
5.0	7	92.1	93.9	2.77	10.4	1.85
5.0	7.5	91.2	92.3	2.75	10.31	1.96
5.0	8	92.2	93.6	2.85	10.34	1.83
5.0	8.5	91.9	93.3	2.76	10.33	1.87
5.0	9	92.3	93.4	2.75	10.38	1.87
5.0	9.5	92.7	93.9	2.73	10.36	1.84
5.0	10	94.0	95.5	2.71	10.59	1.71
5.5	0.5	58.1	74.8	3.96	10.34	2.76
5.5	1	73.8	84.9	3.25	10.29	2.51
5.5	1.5	81.0	90.3	3.05	10.43	2.3
5.5	2	86.2	91.5	3.08	10.49	2.15
5.5	2.5	86.2	91.6	2.88	10.29	2.08
5.5	3	87.9	91.6	2.9	10.29	2.05
5.5	3.5	91.0	93.3	3.02	10.53	1.93
5.5	4	89.0	92.4	2.91	10.3	1.96
5.5	4.5	91.8	93.5	2.9	10.48	1.87
5.5	5	91.4	93.2	2.93	10.38	1.87
5.5	5.5	91.1	93.1	2.85	10.35	1.9
5.5	6	91.7	93.4	2.84	10.43	1.83
5.5	6.5	92.8	94.2	2.97	10.4	1.82
5.5	7	92.9	94.4	2.87	10.48	1.8
5.5	7.5	92.8	94.1	2.94	10.41	1.83
5.5	8	92.8	94.3	2.85	10.44	1.8
5.5	8.5	93.3	94.6	2.91	10.47	1.8
5.5	9	92.9	93.9	2.94	10.4	1.85
5.5	9.5	93.3	94.0	2.91	10.36	1.81
5.5	10	92.6	94.3	2.81	10.46	1.83
6.0	0.5	63.4	79.4	4.36	10.51	2.76
6.0	1	77.9	88.1	3.4	10.47	2.4
6.0	1.5	81.2	88.6	3.22	10.31	2.39
6.0	2	83.2	89.8	2.99	10.36	2.17
6.0	2.5	86.7	90.9	3.15	10.33	2.1
6.0	3	88.6	91.9	3.06	10.23	2.02
6.0	3.5	89.4	92.5	2.85	10.4	2.02
6.0	4	90.3	92.0	3.01	10.32	2.03
6.0	4.5	90.1	91.7	2.98	10.23	2.06
6.0	5	91.5	93.0	3.12	10.32	1.92
6.0	5.5	92.8	94.4	3.0	10.47	1.78
6.0	6	91.8	93.0	3.01	10.33	1.91
6.0	6.5	92.6	94.4	3.13	10.41	1.77
6.0	7	92.6	94.4	3.05	10.38	1.79
6.0	7.5	93.0	94.0	3.01	10.42	1.82
6.0	8	93.5	94.2	3.07	10.33	1.77
6.0	8.5	93.1	94.0	2.99	10.35	1.82
6.0	9	92.7	93.9	2.99	10.36	1.83
6.0	9.5	92.8	93.8	3.0	10.34	1.83
6.0	10	92.5	93.4	2.99	10.35	1.88
6.5	0.5	60.7	78.6	4.09	10.65	2.96
6.5	1	77.9	87.2	3.65	10.36	2.39
6.5	1.5	84.0	90.6	3.42	10.44	2.23
6.5	2	86.7	91.5	3.29	10.29	2.1
6.5	2.5	88.7	92.4	3.23	10.39	2.01
6.5	3	89.4	92.6	3.25	10.31	1.98
6.5	3.5	90.8	92.6	3.22	10.33	1.93
6.5	4	91.9	94.4	3.16	10.49	1.82
6.5	4.5	91.6	92.9	3.2	10.29	1.93
6.5	5	91.0	92.4	3.04	10.34	1.97
6.5	5.5	91.8	93.6	3.09	10.38	1.88
6.5	6	91.9	93.5	3.01	10.39	1.9
6.5	6.5	93.1	94.3	3.12	10.53	1.86
6.5	7	92.6	93.7	3.1	10.36	1.84
6.5	7.5	92.5	93.4	3.09	10.31	1.86
6.5	8	92.8	93.8	3.17	10.36	1.86
6.5	8.5	92.5	93.2	3.15	10.3	1.9
6.5	9	92.1	93.4	3.08	10.36	1.89
6.5	9.5	93.5	94.4	3.12	10.43	1.83
6.5	10	92.8	93.2	3.13	10.3	1.88
7.0	0.5	61.1	78.5	4.32	10.47	2.78
7.0	1	77.2	87.3	3.46	10.63	2.53
7.0	1.5	83.8	89.4	3.43	10.27	2.27
7.0	2	86.5	90.7	3.29	10.38	2.2
7.0	2.5	88.2	91.3	3.24	10.32	2.08
7.0	3	89.0	92.5	3.28	10.34	1.96
7.0	3.5	88.9	92.1	3.07	10.43	2.06
7.0	4	91.3	93.5	3.3	10.38	1.87
7.0	4.5	91.2	92.5	3.28	10.22	1.98
7.0	5	92.4	93.9	3.23	10.39	1.85
7.0	5.5	91.9	92.9	3.19	10.38	1.95
7.0	6	93.0	93.8	3.27	10.42	1.84
7.0	6.5	92.0	94.0	3.13	10.34	1.82
7.0	7	93.9	94.7	3.26	10.39	1.8
7.0	7.5	92.6	93.2	3.2	10.34	1.9
7.0	8	91.8	93.1	3.15	10.34	1.91
7.0	8.5	93.1	94.0	3.24	10.41	1.83
7.0	9	93.9	94.9	3.27	10.47	1.76
7.0	9.5	93.6	94.2	3.24	10.39	1.83
7.0	10	95.2	95.9	3.26	10.52	1.61
7.5	0.5	65.2	80.2	4.65	10.47	2.72
7.5	1	78.6	89.1	3.74	10.31	2.29
7.5	1.5	84.4	91.5	3.49	10.53	2.13
7.5	2	87.3	92.1	3.35	10.36	2.13
7.5	2.5	87.9	91.8	3.24	10.36	2.08
7.5	3	90.1	93.2	3.34	10.38	1.97
7.5	3.5	92.1	93.8	3.43	10.41	1.91
7.5	4	92.2	93.7	3.44	10.35	1.85
7.5	4.5	93.7	94.7	3.25	10.59	1.84
7.5	5	91.0	92.5	3.27	10.21	1.95
7.5	5.5	92.2	93.1	3.37	10.32	1.91
7.5	6	93.1	94.4	3.35	10.52	1.83
7.5	6.5	93.9	95.0	3.51	10.42	1.66
7.5	7	92.8	93.9	3.26	10.4	1.83
7.5	7.5	93.5	94.2	3.22	10.44	1.81
7.5	8	91.9	93.0	3.21	10.36	1.92
7.5	8.5	93.5	94.3	3.39	10.41	1.82
7.5	9	95.1	95.7	3.48	10.51	1.66
7.5	9.5	93.5	94.5	3.27	10.46	1.81
7.5	10	94.1	94.9	3.38	10.5	1.76
8.0	0.5	63.8	78.8	4.52	10.37	2.59
8.0	1	78.3	88.4	3.73	10.5	2.2
8.0	1.5	84.6	90.8	3.55	10.43	2.17
8.0	2	88.8	92.9	3.61	10.49	2.09
8.0	2.5	89.9	92.6	3.56	10.41	2.02
8.0	3	90.4	92.7	3.4	10.36	1.99
8.0	3.5	91.1	93.2	3.41	10.36	1.92
8.0	4	92.1	93.4	3.43	10.41	1.87
8.0	4.5	92.4	93.8	3.39	10.37	1.83
8.0	5	93.1	94.2	3.54	10.4	1.81
8.0	5.5	90.6	91.7	3.26	10.31	2.09
8.0	6	92.9	94.0	3.33	10.41	1.81
8.0	6.5	92.7	93.3	3.35	10.31	1.9
8.0	7	94.0	95.0	3.45	10.49	1.71
8.0	7.5	93.2	93.9	3.4	10.38	1.85
8.0	8	94.3	94.9	3.53	10.49	1.68
8.0	8.5	92.7	93.9	3.32	10.44	1.84
8.0	9	92.7	93.7	3.34	10.39	1.84
8.0	9.5	93.4	94.3	3.38	10.37	1.78
8.0	10	94.7	95.2	3.41	10.47	1.7
